molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,units,value,MW,LogP,NumHDonors,NumHAcceptors,pIC50,class
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0,nM,7.39,,,383.814,4.450340000000002,3.0,4.0,7.39,active
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0,nM,6.77,,,482.9030000000001,3.614320000000001,3.0,6.0,6.77,active
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300.0,nM,5.03,,,369.43200000000013,4.772000000000004,1.0,6.0,5.03,inactive
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,500000.0,nM,,,,283.287,2.3105600000000006,2.0,4.0,,inactive
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,3000000.0,nM,,,,164.16,1.49,2.0,2.0,,inactive
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000.0,nM,4.02,,,215.16799999999998,1.73096,1.0,5.0,4.02,inactive
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5310.0,nM,5.28,,,539.9990000000001,3.228220000000002,3.0,7.0,5.28,inactive
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,264000.0,nM,,,,249.22199999999998,1.40098,2.0,5.0,,inactive
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,125.0,nM,6.9,,,236.234,1.55914,2.0,5.0,6.9,active
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,1250000.0,nM,,,,214.224,2.13436,0.0,4.0,,inactive
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,625000.0,nM,,,,239.2779999999999,1.95376,0.0,4.0,,inactive
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,35000.0,nM,4.46,,,186.17,1.52836,2.0,4.0,4.46,inactive
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,900000.0,nM,,,,197.18999999999997,0.052200000000000135,4.0,4.0,,inactive
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45,nM,9.35,,,542.0150000000001,3.57442,5.0,7.0,9.35,active
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,10000.0,nM,5.0,,,204.18499999999997,0.4900799999999999,3.0,4.0,5.0,inactive
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,60000.0,nM,4.22,,,281.231,1.4673399999999999,2.0,7.0,4.22,inactive
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,600000.0,nM,,,,200.20100000000002,1.5102599999999997,1.0,5.0,,inactive
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,850000.0,nM,,,,230.22299999999998,1.83996,1.0,5.0,,inactive
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,3000.0,nM,5.52,,,202.16899999999998,1.2339599999999997,3.0,5.0,5.52,inactive
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,8000.0,nM,5.1,,,292.34600000000006,3.806600000000002,1.0,5.0,5.1,inactive
